web-scraper-order,web-scraper-start-url,types_habits,prix,adresse,image_lien-src
"1752096583-25","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Mocassins Enfant","Prix sur demande","Les Parcelles Assainies, Dakar, Sénégal",""
"1752096583-26","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Mocassins Enfant","Prix sur demande","","https://images.coinafrique.com/thumb_838292_uploaded_image1_1565733704.96.png"
"1752096583-27","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures Enfant","8 000CFA","Les Parcelles Assainies, Dakar, Sénégal",""
"1752096583-28","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures Enfant","8 000CFA","","https://images.coinafrique.com/thumb_838285_uploaded_image1_1565733521.41.png"
"1752096583-29","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","8 000CFA","Les Parcelles Assainies, Dakar, Sénégal",""
"1752096583-30","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","8 000CFA","","https://images.coinafrique.com/thumb_825843_uploaded_image1_1565308869.98.png"
"1752096583-31","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","8 000CFA","Les Parcelles Assainies, Dakar, Sénégal",""
"1752096583-32","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","8 000CFA","","https://images.coinafrique.com/thumb_824543_uploaded_image1_1565279780.97.png"
"1752096583-33","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","Dakar, Sénégal",""
"1752096583-34","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","","https://images.coinafrique.com/thumb_813318_uploaded_image1_1565013222.75.png"
"1752096583-35","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","Dakar, Sénégal",""
"1752096583-36","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","","https://images.coinafrique.com/thumb_813303_uploaded_image1_1565013123.95.png"
"1752096583-37","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","Dakar, Sénégal",""
"1752096583-38","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","","https://images.coinafrique.com/thumb_813299_uploaded_image1_1565012935.88.png"
"1752096583-39","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","Dakar, Sénégal",""
"1752096583-40","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","","https://images.coinafrique.com/thumb_813287_uploaded_image1_1565012771.79.png"
"1752096583-41","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","Dakar, Sénégal",""
"1752096583-42","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","","https://images.coinafrique.com/thumb_813282_uploaded_image1_1565012680.37.png"
"1752096583-43","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","Dakar, Sénégal",""
"1752096583-44","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","","https://images.coinafrique.com/thumb_813272_uploaded_image1_1565012560.04.png"
"1752096583-45","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","Dakar, Sénégal",""
"1752096583-46","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","","https://images.coinafrique.com/thumb_813239_uploaded_image1_1565012155.7.png"
"1752096583-47","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","Dakar, Sénégal",""
